flight_date,flight_status,aircraft,live,departure_airport,departure_timezone,departure_iata,departure_icao,departure_terminal,departure_gate,departure_delay,departure_scheduled,departure_estimated,departure_actual,departure_estimated_runway,departure_actual_runway,arrival_airport,arrival_timezone,arrival_iata,arrival_icao,arrival_terminal,arrival_gate,arrival_baggage,arrival_scheduled,arrival_delay,arrival_estimated,arrival_actual,arrival_estimated_runway,arrival_actual_runway,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao,flight_codeshared,flight_codeshared_airline_name,flight_codeshared_airline_iata,flight_codeshared_airline_icao,flight_codeshared_flight_number,flight_codeshared_flight_iata,flight_codeshared_flight_icao
2025-07-05,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,220,,2025-07-05T17:20:00+00:00,2025-07-05T17:20:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T19:50:00+00:00,,,,,,China United Airlines,KN,CUA,6326,KN6326,CUA6326,,china eastern airlines,mu,ces,6137,mu6137,ces6137
2025-07-05,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2025-07-05T17:30:00+00:00,2025-07-05T17:30:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T19:50:00+00:00,,,,,,Air China LTD,CA,CCA,2659,CA2659,CCA2659,,,,,,,
2025-07-05,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2025-07-05T17:30:00+00:00,2025-07-05T17:30:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T19:50:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,4111,ZH4111,CSZ4111,,air china ltd,ca,cca,2659,ca2659,cca2659
2025-07-05,scheduled,,,Tianhe International,Asia/Shanghai,WUH,ZHHH,3,11,120.0,2025-07-05T17:40:00+00:00,2025-07-05T17:40:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T19:25:00+00:00,,,,,,China Eastern Airlines,MU,CES,2515,MU2515,CES2515,,,,,,,
2025-07-05,scheduled,,,Xianyang,Asia/Shanghai,XIY,ZLXY,2,,,2025-07-05T16:25:00+00:00,2025-07-05T16:25:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T19:20:00+00:00,,,,,,Shandong Airlines,SC,CDG,9231,SC9231,CDG9231,,shenzhen airlines,zh,csz,9275,zh9275,csz9275
2025-07-05,scheduled,,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,6.0,2025-07-05T15:40:00+00:00,2025-07-05T15:40:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T18:55:00+00:00,,,,,,China Eastern Airlines,MU,CES,8094,MU8094,CES8094,,china united airlines,kn,cua,5361,kn5361,cua5361
2025-07-05,scheduled,,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,C22,,2025-07-05T16:50:00+00:00,2025-07-05T16:50:00+00:00,,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,,4,2025-07-05T19:25:00+00:00,,,,,,Garuda Indonesia,GA,GIA,9000,GA9000,GIA9000,,klm,kl,klm,835,kl835,klm835
2025-07-05,scheduled,,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,C22,,2025-07-05T16:50:00+00:00,2025-07-05T16:50:00+00:00,,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,,4,2025-07-05T19:25:00+00:00,,,,,,Air France,AF,AFR,8220,AF8220,AFR8220,,klm,kl,klm,835,kl835,klm835
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A14,,2025-07-05T16:40:00+00:00,2025-07-05T16:40:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,,36,2025-07-05T23:00:00+00:00,,,,,,Virgin Australia,VA,VOZ,5786,VA5786,VOZ5786,,singapore airlines,sq,sia,806,sq806,sia806
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A14,,2025-07-05T16:40:00+00:00,2025-07-05T16:40:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,,36,2025-07-05T23:00:00+00:00,,,,,,Ethiopian Airlines,ET,ETH,1340,ET1340,ETH1340,,singapore airlines,sq,sia,806,sq806,sia806
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A14,,2025-07-05T16:40:00+00:00,2025-07-05T16:40:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,,36,2025-07-05T23:00:00+00:00,,,,,,Air China LTD,CA,CCA,5282,CA5282,CCA5282,,singapore airlines,sq,sia,806,sq806,sia806
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,B3,,2025-07-05T16:35:00+00:00,2025-07-05T16:35:00+00:00,,,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,,13,2025-07-05T22:05:00+00:00,,,,,,Qantas,QF,QFA,4090,QF4090,QFA4090,,china eastern airlines,mu,ces,568,mu568,ces568
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,B3,,2025-07-05T16:35:00+00:00,2025-07-05T16:35:00+00:00,,,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,,13,2025-07-05T22:05:00+00:00,,,,,,Juneyao Airlines,HO,DKH,3512,HO3512,DKH3512,,china eastern airlines,mu,ces,568,mu568,ces568
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,D36,,2025-07-05T16:35:00+00:00,2025-07-05T16:35:00+00:00,,,,Duong Dong,Asia/Ho_Chi_Minh,PQC,VVPQ,,,,2025-07-05T17:20:00+00:00,,,,,,Singapore Airlines,SQ,SIA,8648,SQ8648,SIA8648,,scoot,tr,tgw,324,tr324,tgw324
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,D49,,2025-07-05T16:30:00+00:00,2025-07-05T16:30:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,4,,29,2025-07-05T21:35:00+00:00,,,,,,Singapore Airlines,SQ,SIA,8316,SQ8316,SIA8316,,scoot,tr,tgw,188,tr188,tgw188
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,E12,,2025-07-05T16:15:00+00:00,2025-07-05T16:15:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2025-07-05T17:10:00+00:00,,,,,,Virgin Australia,VA,VOZ,5834,VA5834,VOZ5834,,singapore airlines,sq,sia,962,sq962,sia962
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,E12,,2025-07-05T16:15:00+00:00,2025-07-05T16:15:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2025-07-05T17:10:00+00:00,,,,,,SAS,SK,SAS,8085,SK8085,SAS8085,,singapore airlines,sq,sia,962,sq962,sia962
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,E12,,2025-07-05T16:15:00+00:00,2025-07-05T16:15:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2025-07-05T17:10:00+00:00,,,,,,Garuda Indonesia,GA,GIA,8962,GA8962,GIA8962,,singapore airlines,sq,sia,962,sq962,sia962
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,E12,,2025-07-05T16:15:00+00:00,2025-07-05T16:15:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2025-07-05T17:10:00+00:00,,,,,,Air India,AI,AIC,8130,AI8130,AIC8130,,singapore airlines,sq,sia,962,sq962,sia962
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,E6,,2025-07-05T16:15:00+00:00,2025-07-05T16:15:00+00:00,,,,Phuket International,Asia/Bangkok,HKT,VTSP,I,,2,2025-07-05T17:10:00+00:00,,,,,,Virgin Australia,VA,VOZ,5736,VA5736,VOZ5736,,singapore airlines,sq,sia,736,sq736,sia736
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,E6,,2025-07-05T16:15:00+00:00,2025-07-05T16:15:00+00:00,,,,Phuket International,Asia/Bangkok,HKT,VTSP,I,,2,2025-07-05T17:10:00+00:00,,,,,,Bangkok Airways,PG,BKP,4722,PG4722,BKP4722,,singapore airlines,sq,sia,736,sq736,sia736
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,E6,,2025-07-05T16:15:00+00:00,2025-07-05T16:15:00+00:00,,,,Phuket International,Asia/Bangkok,HKT,VTSP,I,,2,2025-07-05T17:10:00+00:00,,,,,,Air New Zealand,NZ,ANZ,3496,NZ3496,ANZ3496,,singapore airlines,sq,sia,736,sq736,sia736
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A19,,2025-07-05T16:15:00+00:00,2025-07-05T16:15:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,2,,,2025-07-05T17:10:00+00:00,,,,,,Malindo Air,OD,MXD,9113,OD9113,MXD9113,,batik air,id,btk,7150,id7150,btk7150
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,E26,,2025-07-05T16:10:00+00:00,2025-07-05T16:10:00+00:00,,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,,2,2025-07-05T18:50:00+00:00,,,,,,United Airlines,UA,UAL,7702,UA7702,UAL7702,,singapore airlines,sq,sia,944,sq944,sia944
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,E26,,2025-07-05T16:10:00+00:00,2025-07-05T16:10:00+00:00,,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,,2,2025-07-05T18:50:00+00:00,,,,,,SAS,SK,SAS,8089,SK8089,SAS8089,,singapore airlines,sq,sia,944,sq944,sia944
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,E26,,2025-07-05T16:10:00+00:00,2025-07-05T16:10:00+00:00,,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,,2,2025-07-05T18:50:00+00:00,,,,,,Garuda Indonesia,GA,GIA,9072,GA9072,GIA9072,,singapore airlines,sq,sia,944,sq944,sia944
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,E26,,2025-07-05T16:10:00+00:00,2025-07-05T16:10:00+00:00,,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,,2,2025-07-05T18:50:00+00:00,,,,,,Air India,AI,AIC,8148,AI8148,AIC8148,,singapore airlines,sq,sia,944,sq944,sia944
2025-07-05,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,D44,,2025-07-05T16:05:00+00:00,2025-07-05T16:05:00+00:00,,,,King Abdulaziz International,Asia/Riyadh,JED,OEJN,1,,,2025-07-05T20:35:00+00:00,,,,,,Singapore Airlines,SQ,SIA,8328,SQ8328,SIA8328,,scoot,tr,tgw,596,tr596,tgw596
