flight_date,flight_status,departure_airport,departure_timezone,departure_iata,departure_icao,departure_terminal,departure_gate,departure_delay,departure_scheduled,departure_estimated,departure_actual,departure_estimated_runway,departure_actual_runway,arrival_airport,arrival_timezone,arrival_iata,arrival_icao,arrival_terminal,arrival_gate,arrival_baggage,arrival_scheduled,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao,flight_codeshared_airline_name,flight_codeshared_airline_iata,flight_codeshared_airline_icao,flight_codeshared_flight_number,flight_codeshared_flight_iata,flight_codeshared_flight_icao,flight_duration,delay_outlier,flight_duration_outlier
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,D5,0.0,2025-07-05 06:25:00+00:00,2025-07-05 06:25:00+00:00,null,null,null,Minneapolis - St. Paul International,America/Chicago,MSP,KMSP,1,G18,6,2025-07-05 11:43:00+00:00,Delta Air Lines,DL,DAL,2369,DL2369,DAL2369,N/A,N/A,N/A,N/A,N/A,N/A,5.3,False,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,D5,0.0,2025-07-05 06:25:00+00:00,2025-07-05 06:25:00+00:00,null,null,null,Minneapolis - St. Paul International,America/Chicago,MSP,KMSP,1,G18,6,2025-07-05 11:43:00+00:00,WestJet,WS,WJA,8313,WS8313,WJA8313,delta air lines,dl,dal,2369.0,dl2369,dal2369,5.3,False,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,D5,0.0,2025-07-05 06:25:00+00:00,2025-07-05 06:25:00+00:00,null,null,null,Minneapolis - St. Paul International,America/Chicago,MSP,KMSP,1,G18,6,2025-07-05 11:43:00+00:00,Korean Air,KE,KAL,6748,KE6748,KAL6748,delta air lines,dl,dal,2369.0,dl2369,dal2369,5.3,False,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,D5,0.0,2025-07-05 06:25:00+00:00,2025-07-05 06:25:00+00:00,null,null,null,Minneapolis - St. Paul International,America/Chicago,MSP,KMSP,1,G18,6,2025-07-05 11:43:00+00:00,Air France,AF,AFR,2124,AF2124,AFR2124,delta air lines,dl,dal,2369.0,dl2369,dal2369,5.3,False,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,unknown,8.0,2025-07-05 06:20:00+00:00,2025-07-05 06:20:00+00:00,null,null,null,Greater Rockford Airport,America/Chicago,RFD,KRFD,unknown,unknown,unknown,2025-07-05 11:42:00+00:00,UPS Airlines,5X,UPS,5975,5X5975,UPS5975,N/A,N/A,N/A,N/A,N/A,N/A,5.366666666666666,False,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,E11,11.0,2025-07-05 06:20:00+00:00,2025-07-05 06:20:00+00:00,null,null,null,Midway,America/Chicago,MDW,KMDW,unknown,B2,unknown,2025-07-05 12:15:00+00:00,Southwest Airlines,WN,SWA,2735,WN2735,SWA2735,N/A,N/A,N/A,N/A,N/A,N/A,5.916666666666667,False,True
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,E13,4.0,2025-07-05 06:15:00+00:00,2025-07-05 06:15:00+00:00,null,null,null,Vancouver International,America/Vancouver,YVR,CYVR,M,E87,33,2025-07-05 07:32:00+00:00,Air Canada,AC,ACA,8649,AC8649,ACA8649,N/A,N/A,N/A,N/A,N/A,N/A,1.2833333333333334,False,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,E13,4.0,2025-07-05 06:15:00+00:00,2025-07-05 06:15:00+00:00,null,null,null,Vancouver International,America/Vancouver,YVR,CYVR,M,E87,33,2025-07-05 07:32:00+00:00,United Airlines,UA,UAL,8216,UA8216,UAL8216,air canada,ac,aca,8649.0,ac8649,aca8649,1.2833333333333334,False,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,E13,4.0,2025-07-05 06:15:00+00:00,2025-07-05 06:15:00+00:00,null,null,null,Vancouver International,America/Vancouver,YVR,CYVR,M,E87,33,2025-07-05 07:32:00+00:00,Air New Zealand,NZ,ANZ,4699,NZ4699,ANZ4699,air canada,ac,aca,8649.0,ac8649,aca8649,1.2833333333333334,False,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,D11,0.0,2025-07-05 06:15:00+00:00,2025-07-05 06:15:00+00:00,null,null,null,Los Angeles International,America/Los_Angeles,LAX,KLAX,2,23B,unknown,2025-07-05 08:44:00+00:00,Delta Air Lines,DL,DAL,2947,DL2947,DAL2947,N/A,N/A,N/A,N/A,N/A,N/A,2.4833333333333334,False,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,D11,0.0,2025-07-05 06:15:00+00:00,2025-07-05 06:15:00+00:00,null,null,null,Los Angeles International,America/Los_Angeles,LAX,KLAX,2,23B,unknown,2025-07-05 08:44:00+00:00,Virgin Atlantic,VS,VIR,4156,VS4156,VIR4156,delta air lines,dl,dal,2947.0,dl2947,dal2947,2.4833333333333334,False,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,D11,0.0,2025-07-05 06:15:00+00:00,2025-07-05 06:15:00+00:00,null,null,null,Los Angeles International,America/Los_Angeles,LAX,KLAX,2,23B,unknown,2025-07-05 08:44:00+00:00,China Eastern Airlines,MU,CES,8798,MU8798,CES8798,delta air lines,dl,dal,2947.0,dl2947,dal2947,2.4833333333333334,False,False
2025-07-05,scheduled,Korla,Asia/Shanghai,KRL,ZWKL,unknown,unknown,0.0,2025-07-05 21:50:00+00:00,2025-07-05 21:50:00+00:00,null,null,null,Urumqi,Asia/Shanghai,URC,ZWWW,2,unknown,unknown,2025-07-05 22:45:00+00:00,Tianjin Airlines,GS,GCR,7472,GS7472,GCR7472,N/A,N/A,N/A,N/A,N/A,N/A,0.9166666666666666,False,False
2025-07-05,scheduled,Korla,Asia/Shanghai,KRL,ZWKL,unknown,unknown,0.0,2025-07-05 21:05:00+00:00,2025-07-05 21:05:00+00:00,null,null,null,Zhengzhou,Asia/Shanghai,CGO,ZHCC,T2,unknown,unknown,2025-07-06 01:05:00+00:00,West Air (China),PN,CHB,6390,PN6390,CHB6390,N/A,N/A,N/A,N/A,N/A,N/A,4.0,False,False
2025-07-05,scheduled,Korla,Asia/Shanghai,KRL,ZWKL,unknown,unknown,0.0,2025-07-05 20:15:00+00:00,2025-07-05 20:15:00+00:00,null,null,null,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,2,unknown,17,2025-07-06 00:30:00+00:00,Air China LTD,CA,CCA,1260,CA1260,CCA1260,N/A,N/A,N/A,N/A,N/A,N/A,4.25,False,False
2025-07-05,scheduled,Korla,Asia/Shanghai,KRL,ZWKL,unknown,unknown,0.0,2025-07-05 20:15:00+00:00,2025-07-05 20:15:00+00:00,null,null,null,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,2,unknown,17,2025-07-06 00:30:00+00:00,Shenzhen Airlines,ZH,CSZ,1260,ZH1260,CSZ1260,air china ltd,ca,cca,1260.0,ca1260,cca1260,4.25,False,False
2025-07-05,active,Haneda Airport,Asia/Tokyo,HND,RJTT,3,145,13.0,2025-07-05 11:30:00+00:00,2025-07-05 11:30:00+00:00,2025-07-05 11:42:00+00:00,2025-07-05 11:42:00+00:00,2025-07-05 11:42:00+00:00,Chicago O'hare International,America/Chicago,ORD,KORD,5,unknown,unknown,2025-07-05 09:15:00+00:00,Malaysia Airlines,MH,MAS,9110,MH9110,MAS9110,japan airlines (oneworld livery),jl,jal,10.0,jl10,jal10,2.25,False,False
2025-07-05,active,Haneda Airport,Asia/Tokyo,HND,RJTT,3,145,13.0,2025-07-05 11:30:00+00:00,2025-07-05 11:30:00+00:00,2025-07-05 11:42:00+00:00,2025-07-05 11:42:00+00:00,2025-07-05 11:42:00+00:00,Chicago O'hare International,America/Chicago,ORD,KORD,5,unknown,unknown,2025-07-05 09:15:00+00:00,American Airlines,AA,AAL,8405,AA8405,AAL8405,japan airlines (oneworld livery),jl,jal,10.0,jl10,jal10,2.25,False,False
2025-07-05,scheduled,Minangkabau International Airport,Asia/Jakarta,PDG,WIEE,unknown,unknown,0.0,2025-07-05 17:35:00+00:00,2025-07-05 17:35:00+00:00,null,null,null,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,unknown,unknown,2025-07-05 19:30:00+00:00,Garuda Indonesia,GA,GIA,165,GA165,GIA165,N/A,N/A,N/A,N/A,N/A,N/A,1.9166666666666667,False,False
2025-07-05,scheduled,Minangkabau International Airport,Asia/Jakarta,PDG,WIEE,unknown,unknown,0.0,2025-07-05 17:35:00+00:00,2025-07-05 17:35:00+00:00,null,null,null,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,unknown,unknown,2025-07-05 19:30:00+00:00,Etihad Airways,EY,ETD,7090,EY7090,ETD7090,garuda indonesia,ga,gia,165.0,ga165,gia165,1.9166666666666667,False,False
